term,citation_percentile_all,citation_percentile_intro,n_pubs_all,n_pubs_intro,ui,disease_term
D010997:Pleural Neoplasms,0.6208759089387497,0.6211214025802183,93,61.0,D010997,True
D010998:Pleurisy,0.6941205911095019,0.6941205911095019,3,3.0,D010998,True
D011003:Ploidies,0.45048651812066065,0.4355057817832411,22,13.0,D011003,False
D011008:Pneumococcal Infections,0.36999669202778696,0.5082651879408978,26,20.0,D011008,True
D011009:Pneumoconiosis,0.40460681100384616,0.6098373148669692,3,3.0,D011009,True
D011013:Pneumonectomy,0.41617493277561995,0.41730659570189843,53,32.0,D011013,False
D011014:Pneumonia,0.5240513893038542,0.5423601922023946,145,89.0,D011014,True
"D011015:Pneumonia, Aspiration",0.5880582203109493,0.5880582203109493,2,2.0,D011015,True
"D011018:Pneumonia, Pneumococcal",0.589892466986947,0.589892466986947,9,9.0,D011018,True
"D011019:Pneumonia, Mycoplasma",0.28574096205557215,0.28574096205557215,13,10.0,D011019,True
"D011023:Pneumonia, Staphylococcal",0.5586635313936756,0.5586635313936756,3,3.0,D011023,True
"D011024:Pneumonia, Viral",0.5069110688127205,0.5069110688127205,10,10.0,D011024,True
D011030:Pneumothorax,0.26327014500067303,0.6928192889481627,7,4.0,D011030,True
D011034:Podophyllotoxin,0.3472714621781916,0.3472714621781916,4,2.0,D011034,False
D011038:Rothmund-Thomson Syndrome,0.6320817483112666,0.8167714191200794,7,1.0,D011038,True
"D011040:Dermatitis, Toxicodendron",0.9670445372547644,0.9670445372547644,1,1.0,D011040,True
D011041:Poisoning,0.07064893131646369,0.07064893131646369,1,1.0,D011041,True
D011042:Poisons,0.5212371816076745,0.7302348660271254,6,5.0,D011042,False
D011044:Poland,0.24831730796337587,0.25117433013562684,314,153.0,D011044,False
D011051:Poliomyelitis,0.6172493971887333,0.6172493971887333,4,4.0,D011051,True
"D011054:Poliovirus Vaccine, Inactivated",0.9950049619583196,0.9950049619583196,1,1.0,D011054,False
D011057:Politics,0.017974884861336603,0.017974884861336603,1,1.0,D011057,False
D011058:Pollen,0.21042010318323798,0.21042010318323798,10,9.0,D011058,False
D011061:Poly A,0.573324276862927,0.6362057558716506,33,20.0,D011061,False
D011062:Polynucleotide Adenylyltransferase,0.573324276862927,0.6422981083073035,10,3.0,D011062,False
D011063:Poly A-U,0.5586635313936756,,1,,D011063,False
D011064:Poly Adenosine Diphosphate Ribose,0.6161285197982446,0.554835823862695,24,14.0,D011064,False
D011065:Poly(ADP-ribose) Polymerases,0.6313877260190565,0.6152338650821252,329,148.0,D011065,False
D011067:Poly dA-dT,0.14977966270169973,0.14977966270169973,3,2.0,D011067,False
D011070:Poly I-C,0.5082651879408978,0.5082651879408978,148,80.0,D011070,False
D011071:Poly T,0.2849474835161194,0.22931963373152686,4,2.0,D011071,False
D011072:Poly U,0.49403913989668957,0.554835823862695,3,3.0,D011072,False
D011073:Polyamines,0.6206304152972811,0.6645220223201874,19,15.0,D011073,False
D011075:Polybrominated Biphenyls,0.8761204063340304,0.5642322981936876,2,2.0,D011075,False
D011077:Polychaeta,0.561757814051392,0.561757814051392,1,1.0,D011077,False
D011078:Polychlorinated Biphenyls,0.392204326359982,0.42540570072508505,15,11.0,D011078,False
"D011081:Polychondritis, Relapsing",0.42087330466424083,0.42087330466424083,3,3.0,D011081,True
D011083:Polycyclic Compounds,0.7710195806481246,0.8048772406480899,3,2.0,D011083,False
D011084:Polycyclic Aromatic Hydrocarbons,0.3375597550044816,0.24187705407827906,15,8.0,D011084,False
D011085:Polycystic Ovary Syndrome,0.36999669202778696,0.3264677322975799,313,121.0,D011085,True
D011086:Polycythemia,0.31223949718822364,0.2000476587632551,20,11.0,D011086,True
D011087:Polycythemia Vera,0.2523441900533448,0.2523441900533448,58,23.0,D011087,True
D011088:DNA Ligases,0.4067128325767867,0.554835823862695,38,10.0,D011088,False
D011089:Polydeoxyribonucleotides,0.1582573946818046,0.1582573946818046,1,1.0,D011089,False
D011090:Polyenes,0.2523441900533448,0.2523441900533448,4,4.0,D011090,False
D011091:Polyesters,0.4355057817832411,0.37810806584687273,8,6.0,D011091,False
D011092:Polyethylene Glycols,0.26727364977361256,0.3954349983460139,145,67.0,D011092,False
D011093:Polyethylene Terephthalates,0.8234838555939473,0.8234838555939473,1,1.0,D011093,False
D011094:Polyethyleneimine,0.38461953990637754,0.38461953990637754,15,15.0,D011094,False
D011095:Polyethylenes,0.3853012430994082,0.3853012430994082,1,1.0,D011095,False
D011099:Polyglutamic Acid,0.7064858770317987,0.6211214025802183,10,8.0,D011099,False
D011100:Polyglycolic Acid,0.6064576319184458,0.6030779489699224,10,9.0,D011100,False
D011102:Polyhydroxyethyl Methacrylate,0.3166230409860508,0.3166230409860508,1,1.0,D011102,False
D011106:Polyisoprenyl Phosphates,0.5325504465762487,0.4481342039359736,8,5.0,D011106,False
D011107:Polylysine,0.5340960937774191,0.5340960937774191,3,3.0,D011107,False
D011108:Polymers,0.6051438967912669,0.5933538948386194,34,26.0,D011108,False
D011109:Polymethacrylic Acids,0.9830309198750571,0.9830309198750571,2,2.0,D011109,False
"D011110:Polymorphism, Genetic",0.22034402911015546,0.25117433013562684,4917,336.0,D011110,False
D011111:Polymyalgia Rheumatica,0.14977966270169973,0.14977966270169973,3,3.0,D011111,True
D011112:Polymyxin B,0.5902140672782875,0.37493667307017253,5,4.0,D011112,False
D011113:Polymyxins,0.8062331098866389,0.8062331098866389,1,1.0,D011113,False
D011114:Polynesia,0.24841189063980626,0.24841189063980626,5,5.0,D011114,False
D011115:Polyneuropathies,0.5659764922059805,0.561757814051392,22,16.0,D011115,True
D011116:Polynucleotide 5'-Hydroxyl-Kinase,0.4355057817832411,0.40001673442640917,3,2.0,D011116,False
D011117:Polyribonucleotide Nucleotidyltransferase,0.5909705080491325,0.8955800006626685,5,1.0,D011117,False
D011119:Polynucleotides,0.3771743812332262,0.3771743812332262,6,4.0,D011119,False
D011120:Polyomavirus,0.2844665375987249,0.32071034991050434,4,3.0,D011120,False
D011122:Polyphosphates,0.6639101145772066,0.7458231240332843,8,7.0,D011122,False
D011123:Polyploidy,0.4814340364300004,0.4814340364300004,25,17.0,D011123,True
D011125:Adenomatous Polyposis Coli,0.5225784369688748,0.5516043665233212,73,32.0,D011125,True
D011127:Polyps,0.21019584393670526,0.22034402911015546,29,24.0,D011127,True
D011129:Polyradiculoneuropathy,0.10804638786290162,0.10804638786290162,1,1.0,D011129,True
D011130:RNA Ligase (ATP),0.5323881011954407,0.5323881011954407,1,1.0,D011130,False
D011131:Polyribonucleotides,0.03676153871641099,0.03676153871641099,1,1.0,D011131,False
D011132:Polyribosomes,0.754481625336122,0.7564743086144338,30,26.0,D011132,False
D011133:Polysaccharide-Lyases,0.650198478332782,0.650198478332782,1,1.0,D011133,False
D011134:Polysaccharides,0.581563892885972,0.5880582203109493,155,95.0,D011134,False
"D011135:Polysaccharides, Bacterial",0.554835823862695,0.554835823862695,7,7.0,D011135,False
D011136:Polysorbates,0.7813525065438521,0.7813525065438521,2,2.0,D011136,False
D011137:Polystyrenes,0.2844665375987249,0.2844665375987249,4,4.0,D011137,False
D011140:Polyurethanes,0.060418806533912066,0.060418806533912066,1,1.0,D011140,False
D011141:Polyuria,0.3310609323746728,0.3310609323746728,5,5.0,D011141,True
D011149:Pons,0.8498227634857685,0.8498227634857685,4,3.0,D011149,False
D011150:Popliteal Artery,0.03676153871641099,0.03676153871641099,1,1.0,D011150,False
D011153:Population,0.31223949718822364,0.363273080370481,11,11.0,D011153,False
D011159:Population Surveillance,0.3166230409860508,0.2989902296218979,146,103.0,D011159,False
D011161:Porifera,0.4814340364300004,0.4814340364300004,3,3.0,D011161,False
D011162:Porphobilinogen,0.5376839348935064,0.9673214819241112,2,1.0,D011162,False
D011163:Hydroxymethylbilane Synthase,0.11301726304778228,,7,,D011163,False
D011164:Porphyrias,0.4355057817832411,0.6118278087284894,5,4.0,D011164,True
D011166:Porphyrins,0.8278122198984166,0.840751947448922,31,24.0,D011166,False
"D011167:Portacaval Shunt, Surgical",0.4623604254332196,0.4623604254332196,1,1.0,D011167,False
D011168:Portal System,0.548046604389737,0.548046604389737,2,2.0,D011168,False
D011169:Portal Vein,0.4991550975779464,0.48734303038335375,30,26.0,D011169,False
"D011171:Portoenterostomy, Hepatic",0.5339286305954077,0.5339286305954077,2,2.0,D011171,False
D011174:Portugal,0.34177968905061196,0.43324245593068417,51,25.0,D011174,False
D011175:Positive-Pressure Respiration,0.6776217508216313,0.8032487390285555,4,2.0,D011175,False
D011178:Postgastrectomy Syndromes,0.18312845830158048,0.18312845830158048,1,1.0,D011178,True
D011180:Postmortem Changes,0.570195170360569,0.552145632068994,32,25.0,D011180,True
D011181:Postnatal Care,0.363273080370481,0.363273080370481,1,1.0,D011181,False
D011182:Postoperative Care,0.24187705407827906,0.24187705407827906,20,18.0,D011182,False
D011183:Postoperative Complications,0.2849474835161194,0.28485943916049555,190,87.0,D011183,True
D011184:Postoperative Period,0.24822272528694547,0.24822272528694547,120,86.0,D011184,False
D011185:Postpericardiotomy Syndrome,0.006479683298476247,0.006479683298476247,1,1.0,D011185,True
D011187:Posture,0.4970987907635839,0.4970987907635839,9,5.0,D011187,False
D011188:Potassium,0.6030779489699224,0.6206304152972811,108,56.0,D011188,False
D011189:Potassium Chloride,0.34877037014381596,0.3853012430994082,9,8.0,D011189,False
D011190:Potassium Cyanide,0.6051438967912669,0.6051438967912669,1,1.0,D011190,False
D011201:Poultry Diseases,0.6977114626722798,0.6977114626722798,5,5.0,D011201,True
D011203:Poverty,0.5320565918955634,0.5320565918955634,8,6.0,D011203,False
D011205:Povidone,0.0874888174679434,0.0874888174679434,1,1.0,D011205,False
D011208:Powders,0.5339286305954077,0.5339286305954077,1,1.0,D011208,False
D011212:Poxviridae,0.561757814051392,0.561757814051392,3,3.0,D011212,False
D011213:Poxviridae Infections,0.561757814051392,0.561757814051392,6,6.0,D011213,True
"D011214:Practice, Psychological",0.060418806533912066,0.060418806533912066,1,1.0,D011214,False
D011218:Prader-Willi Syndrome,0.4505079700670015,0.4505079700670015,18,13.0,D011218,True
D011220:Pralidoxime Compounds,0.029556731723453522,0.029556731723453522,1,1.0,D011220,False
D011224:Prazosin,0.34161404344890584,0.1797944641551212,2,2.0,D011224,False
D011225:Pre-Eclampsia,0.42087330466424083,0.4355057817832411,635,257.0,D011225,True
D011228:Prealbumin,0.46551015835076187,0.3554557259677816,78,15.0,D011228,False
D011230:Precancerous Conditions,0.46551015835076187,0.5240513893038542,216,108.0,D011230,True
D011232:Chemical Precipitation,0.6098373148669692,0.6098373148669692,5,5.0,D011232,False
D011235:Predatory Behavior,0.3554557259677816,0.3554557259677816,1,1.0,D011235,False
D011236:Prediabetic State,0.3472714621781916,0.3703784845335949,91,65.0,D011236,True
D011237:Predictive Value of Tests,0.42745939076214307,0.4814340364300004,2271,578.0,D011237,False
D011239:Prednisolone,0.46551015835076187,0.4764265943670578,31,24.0,D011239,False
D011241:Prednisone,0.3735855366305066,0.36999669202778696,87,44.0,D011241,False
D011247:Pregnancy,0.3771743812332262,0.43324245593068417,2653,595.0,D011247,False
D011248:Pregnancy Complications,0.42087330466424083,0.43324245593068417,113,61.0,D011248,True
"D011249:Pregnancy Complications, Cardiovascular",0.2962587870844752,0.4389113399852236,14,9.0,D011249,True
"D011250:Pregnancy Complications, Hematologic",0.28023111123758454,0.3795949450297422,8,6.0,D011250,True
"D011251:Pregnancy Complications, Infectious",0.24187705407827906,0.24831730796337587,26,19.0,D011251,True
"D011252:Pregnancy Complications, Neoplastic",0.20076816647016832,0.20076816647016832,8,8.0,D011252,True
D011254:Pregnancy in Diabetics,0.3472714621781916,0.3472714621781916,14,10.0,D011254,True
D011256:Pregnancy Outcome,0.28485943916049555,0.36999669202778696,78,49.0,D011256,False
D011257:Pregnancy Proteins,0.3958815745947734,0.44863848261493017,141,55.0,D011257,False
D011258:Pregnancy Tests,0.078129673000088,0.078129673000088,2,2.0,D011258,False
"D011261:Pregnancy Trimester, First",0.3958815745947734,0.38704047168833466,153,89.0,D011261,False
"D011262:Pregnancy Trimester, Second",0.21808422517477882,0.22034402911015546,49,33.0,D011262,False
"D011263:Pregnancy Trimester, Third",0.39910740962055574,0.39910740962055574,73,52.0,D011263,False
D011264:Pregnancy Trimesters,0.4355057817832411,0.4355057817832411,16,15.0,D011264,False
D011266:Pregnancy-Associated Plasma Protein-A,0.32071034991050434,0.3264677322975799,63,13.0,D011266,False
D011268:Pregnancy-Specific beta 1-Glycoproteins,0.2000476587632551,0.4211911697609939,7,5.0,D011268,False
"D011270:Pregnancy, Animal",0.6801984737841968,0.6801984737841968,9,9.0,D011270,False
"D011271:Pregnancy, Ectopic",0.13794616221528094,0.39757888765060934,7,2.0,D011271,True
"D011272:Pregnancy, Multiple",0.42087330466424083,0.5568462968062018,2,2.0,D011272,False
"D011273:Pregnancy, Prolonged",0.4355057817832411,0.4355057817832411,1,1.0,D011273,True
"D011274:Pregnancy, Tubal",0.060418806533912066,0.0874888174679434,10,9.0,D011274,True
D011278:Pregnanes,0.5339286305954077,0.5339286305954077,1,1.0,D011278,False
D011280:Pregnanolone,0.7661151777711384,0.42087330466424083,7,5.0,D011280,False
D011281:Pregnatrienes,0.3887797002772611,,1,,D011281,False
D011282:Pregnenediones,0.777281894233642,0.7520914251568569,3,3.0,D011282,False
D011284:Pregnenolone,0.7101984692356118,0.7101984692356118,16,8.0,D011284,False
D011285:Pregnenolone Carbonitrile,0.6676754161569008,0.4623604254332196,2,1.0,D011285,False
D011287:Prejudice,0.21715139421860366,0.25117433013562684,2,1.0,D011287,False
D011288:Prekallikrein,0.3887797002772611,0.3887797002772611,3,1.0,D011288,False
D011289:Preleukemia,0.8134755153103777,0.8134755153103777,3,2.0,D011289,True
D011292:Premedication,0.11798813823266294,0.11798813823266294,5,5.0,D011292,False
D011293:Premenstrual Syndrome,0.10143896791266953,,1,,D011293,True
D011295:Prenatal Care,0.43067441452642674,0.4654672544580801,6,5.0,D011295,False
D011296:Prenatal Diagnosis,0.14977966270169973,0.14386291245849034,83,54.0,D011296,False
D011297:Prenatal Exposure Delayed Effects,0.5479269539144056,0.4960599043919928,77,35.0,D011297,True
D011300:Preoperative Care,0.36631505360050387,0.29859349035217153,49,27.0,D011300,False
D011301:Preoptic Area,0.1582573946818046,0.1582573946818046,1,1.0,D011301,False
D011304:Presbycusis,0.6420429723182016,0.6420429723182016,8,8.0,D011304,True
"D011309:Preservation, Biological",0.9363878847436212,0.9363878847436212,1,1.0,D011309,False
D011311:Pressoreceptors,0.17369178394693432,0.17369178394693432,3,3.0,D011311,False
D011312:Pressure,0.554835823862695,0.554835823862695,42,38.0,D011312,False
D011314:Preventive Health Services,0.48270384050200565,0.48270384050200565,2,2.0,D011314,False
D011317:Priapism,0.34161404344890584,0.34161404344890584,1,1.0,D011317,True
D011319:Primaquine,0.35588448769849407,0.3264677322975799,5,4.0,D011319,False
D011320:Primary Health Care,0.10804638786290162,0.10804638786290162,5,5.0,D011320,False
D011322:Primary Prevention,0.6404138283625,0.6206304152972811,5,4.0,D011322,False
D011323:Primates,0.42087330466424083,0.38119024499551835,41,33.0,D011323,False
D011325:Prince Edward Island,0.03147464156638469,0.03147464156638469,1,1.0,D011325,False
D011327:Printing,0.7210572302315421,0.7210572302315421,1,1.0,D011327,False
D011328:Prions,0.7473147380166947,0.6880913000330797,52,23.0,D011328,False
D011329:Prisoners,0.3133195641055537,0.4559874297055905,4,2.0,D011329,False
D011333:Pro-Opiomelanocortin,0.5054537956592351,0.5578299933316955,33,18.0,D011333,False
D011336:Probability,0.32015758256413857,0.28485943916049555,20,11.0,D011336,False
D011337:Probability Learning,0.10804638786290162,0.10804638786290162,3,3.0,D011337,False
D011339:Probenecid,0.7657955673172345,0.5696334262583944,10,7.0,D011339,False
D011340:Problem Solving,0.393367515712868,0.393367515712868,4,4.0,D011340,False
D011341:Probucol,0.215675591794263,0.215675591794263,5,4.0,D011341,False
D011345:Fenofibrate,0.6383840872496221,0.695147609423147,21,13.0,D011345,False
D011347:Procollagen,0.3958815745947734,0.3958815745947734,40,25.0,D011347,False
D011348:Procollagen N-Endopeptidase,0.42745939076214307,0.4841746926085371,20,8.0,D011348,False
D011349:Proctitis,0.39910740962055574,0.39910740962055574,2,2.0,D011349,True
D011355:Prodrugs,0.5339286305954077,0.5339286305954077,22,14.0,D011355,False
D011371:Progeria,0.7661151777711384,0.752035426347353,39,19.0,D011371,True
D011372:Progestins,0.4623604254332196,0.4449553423751241,23,18.0,D011372,False
D011374:Progesterone,0.4960599043919928,0.46869004300363876,164,86.0,D011374,False
D011375:Progesterone Reductase,0.3853012430994082,0.46869004300363876,22,14.0,D011375,False
D011377:Proglumide,0.35900595434998345,0.12995368838901752,2,1.0,D011377,False
D011378:Prognathism,0.5898692082304224,0.6169858520261091,5,4.0,D011378,True
D011379:Prognosis,0.5339286305954077,0.5516043665233212,14395,2476.0,D011379,False
"D011382:Programming, Linear",0.581563892885972,0.581563892885972,1,1.0,D011382,False
D011384:Proinsulin,0.5985584105168807,0.5383011430577395,30,12.0,D011384,False
D011388:Prolactin,0.34161404344890584,0.31443126908713726,94,32.0,D011388,False
D011392:Proline,0.5424439237934002,0.4948496121854491,154,78.0,D011392,False
D011393:Procollagen-Proline Dioxygenase,0.6758352629837909,0.5323881011954407,36,15.0,D011393,False
D011394:Proline Oxidase,0.5266409629045568,0.6574003512143402,6,3.0,D011394,False
D011397:Promegestone,0.36993866116509005,0.6928192889481627,5,4.0,D011397,False
D011398:Promethazine,0.42087330466424083,0.42087330466424083,1,1.0,D011398,False
D011400:Prometryne,0.6211214025802183,0.6211214025802183,1,1.0,D011400,False
"D011401:Promoter Regions, Genetic",0.4999404265459311,0.5339286305954077,6802,966.0,D011401,False
D011402:Pronase,0.70733162531148,0.70733162531148,1,1.0,D011402,False
D011405:Propafenone,0.539263678935304,0.46869004300363876,2,1.0,D011405,False
D011409:Propylene Glycols,0.5127687727423089,0.5127687727423089,7,5.0,D011409,False
D011412:Propanolamines,0.626064411384646,0.6098373148669692,20,13.0,D011412,False
D011414:Properdin,0.5928817587182171,0.5060453444705717,8,4.0,D011414,False
D011415:Complement Factor B,0.3887797002772611,0.5293019789698034,20,9.0,D011415,False
D011416:Complement Factor D,0.564080050362811,0.564080050362811,11,8.0,D011416,False
D011418:Prophase,0.4623604254332196,0.4623604254332196,8,6.0,D011418,False
D011419:Propidium,0.2810618590803837,0.2810618590803837,2,2.0,D011419,False
D011420:Propiolactone,0.4608005292755541,0.4608005292755541,2,2.0,D011420,False
D011422:Propionates,0.4914654316903738,0.4914654316903738,44,28.0,D011422,False
D011425:Propionibacterium acnes,0.9427803506450546,0.9427803506450546,6,4.0,D011425,False
D011427:Propiophenones,0.3887797002772611,0.3887797002772611,5,5.0,D011427,False
D011429:Propolis,0.6422981083073035,0.6422981083073035,3,3.0,D011429,False
D011433:Propranolol,0.4654672544580801,0.4654672544580801,15,11.0,D011433,False
D011434:Proprioception,0.9365882848943206,0.9870845470817394,2,1.0,D011434,False
D011436:Spermidine Synthase,0.8934650615940758,0.8934650615940758,1,1.0,D011436,False
D011437:Propylamines,0.617300131061599,0.617300131061599,13,9.0,D011437,False
D011441:Propylthiouracil,0.7729697491799477,0.6990605656786986,6,2.0,D011441,False
D011442:Proscillaridin,0.4999404265459311,0.4999404265459311,1,1.0,D011442,False
D011446:Prospective Studies,0.39910740962055574,0.4449553423751241,2843,523.0,D011446,False
D011448:Prostaglandin Antagonists,0.18312845830158048,0.18312845830158048,2,2.0,D011448,False
D011451:Prostaglandin-Endoperoxide Synthases,0.28574096205557215,0.541740914006719,8,6.0,D011451,False
D011452:15-Oxoprostaglandin 13-Reductase,0.5082651879408978,0.5082651879408978,1,1.0,D011452,False
D011453:Prostaglandins,0.333990906044348,0.32071034991050434,18,14.0,D011453,False
D011454:Prostaglandins A,0.32071034991050434,0.32071034991050434,1,1.0,D011454,False
"D011459:Prostaglandins E, Synthetic",0.6601972414277191,0.6601972414277191,1,1.0,D011459,False
D011460:Prostaglandins F,0.7439117325469666,0.7439117325469666,3,3.0,D011460,False
"D011461:Prostaglandins F, Synthetic",0.29784167640899895,0.29457425812823534,7,4.0,D011461,False
D011464:Epoprostenol,0.5240513893038542,0.5119959079248927,14,10.0,D011464,False
D011467:Prostate,0.5424439237934002,0.5916801961498956,431,239.0,D011467,False
D011468:Prostatectomy,0.45232162285473626,0.47189723093160996,168,97.0,D011468,False
D011469:Prostatic Diseases,0.4449553423751241,0.4449553423751241,1,1.0,D011469,True
D011470:Prostatic Hyperplasia,0.3445255756144018,0.3853012430994082,153,99.0,D011470,True
D011471:Prostatic Neoplasms,0.6030779489699224,0.6599275720135309,2532,757.0,D011471,True
D011472:Prostatitis,0.570195170360569,0.570195170360569,13,11.0,D011472,True
D011474:Prosthesis Design,0.20873026615775092,0.20873026615775092,10,8.0,D011474,False
D011475:Prosthesis Failure,0.18433874893252128,0.08386241410218105,14,8.0,D011475,True
D011479:Protamines,0.32071034991050434,0.32071034991050434,12,9.0,D011479,False
D011480:Protease Inhibitors,0.6362057558716506,0.6422981083073035,78,35.0,D011480,False
D011484:Protein-Arginine N-Methyltransferases,0.6952308037048103,0.7099239166391003,221,101.0,D011484,False
D011485:Protein Binding,0.5759262025694651,0.6030779489699224,9133,1334.0,D011485,False
D011486:Protein C,0.3795773274826272,0.3958815745947734,56,15.0,D011486,False
D011487:Protein Conformation,0.5507917538093815,0.5586635313936756,1888,645.0,D011487,False
D011488:Protein Deficiency,0.2822031094938803,0.2822031094938803,2,2.0,D011488,True
D011489:Protein Denaturation,0.3958815745947734,0.22034402911015546,76,37.0,D011489,False
D011490:Protein Disulfide Reductase (Glutathione),0.21808422517477882,,1,,D011490,False
D011492:Protein Hydrolysates,0.28574096205557215,0.28574096205557215,4,4.0,D011492,False
D011493:Protein Kinase C,0.5340960937774191,0.5902140672782875,417,151.0,D011493,False
D011494:Protein Kinases,0.7037610707335478,0.7101984692356118,495,160.0,D011494,False
D011495:Histone-Lysine N-Methyltransferase,0.70733162531148,0.7224081375699943,619,187.0,D011495,False
D011496:Protein Methyltransferases,0.6772014178921139,0.6532824973191945,61,31.0,D011496,False
D011497:Protein O-Methyltransferase,0.6233109886638823,0.7469333551027808,6,4.0,D011497,False
D011498:Protein Precursors,0.4449553423751241,0.5323881011954407,250,78.0,D011498,False
"D011499:Protein Processing, Post-Translational",0.6233109886638823,0.6265696961664623,1548,614.0,D011499,False
D011500:Protein Synthesis Inhibitors,0.42087330466424083,0.4623604254332196,43,34.0,D011500,False
D011502:Protein-Energy Malnutrition,0.46548870640442097,0.6272505527673463,5,3.0,D011502,True
D011503:Transglutaminases,0.45232162285473626,0.570195170360569,120,35.0,D011503,False
D011504:Protein-Losing Enteropathies,0.5791432717031214,0.5791432717031214,4,4.0,D011504,True
D011505:Protein-Tyrosine Kinases,0.617300131061599,0.6041109228805946,613,144.0,D011505,False
D011506:Proteins,0.573324276862927,0.6421705403127526,1453,326.0,D011506,False
D011507:Proteinuria,0.5240513893038542,0.5240513893038542,133,79.0,D011507,True
D011508:Chondroitin Sulfate Proteoglycans,0.4314825862726921,0.4355057817832411,41,11.0,D011508,False
D011509:Proteoglycans,0.5340960937774191,0.573324276862927,260,81.0,D011509,False
D011510:Proteolipids,0.6286995779348814,0.7338927992108557,21,12.0,D011510,False
D011516:Prothrombin,0.2849474835161194,0.3887797002772611,91,20.0,D011516,False
D011517:Prothrombin Time,0.2039410020745015,0.24841189063980626,19,14.0,D011517,False
D011518:Proto-Oncogene Proteins,0.6098373148669692,0.6098373148669692,2321,366.0,D011518,False
D011519:Proto-Oncogenes,0.38652797791399984,0.48734303038335375,48,18.0,D011519,False
D011522:Protons,0.5333232701768339,0.6204249592096017,41,25.0,D011522,False
D011523:Protoplasts,0.712167612787571,0.712167612787571,1,1.0,D011523,False
D011524:Protoporphyrins,0.6645125224099067,0.7037610707335478,34,14.0,D011524,False
"D011529:Protozoan Infections, Animal",0.34161404344890584,0.34161404344890584,1,1.0,D011529,True
D011533:Proviruses,0.6328399855662903,0.5880582203109493,25,18.0,D011533,False
D011535:Prune Belly Syndrome,0.31223949718822364,0.31223949718822364,1,1.0,D011535,True
D011536:Prurigo,0.8488121665948776,0.8488121665948776,1,1.0,D011536,True
D011537:Pruritus,0.7101984692356118,0.48395093873773637,45,28.0,D011537,True
D011541:Pseudallescheria,0.1582573946818046,0.1582573946818046,1,1.0,D011541,False
D011542:Pseudarthrosis,0.2421178731506093,,2,,D011542,True
D011544:Pseudogenes,0.7602984015536302,0.7661151777711384,69,43.0,D011544,False
D011546:Pseudohypoaldosteronism,0.7437606604766307,0.8322323773142093,8,2.0,D011546,True
D011547:Pseudohypoparathyroidism,0.5339286305954077,0.3132367413047007,19,2.0,D011547,True
D011549:Pseudomonas,0.8602729337463895,0.8602729337463895,2,2.0,D011549,False
D011550:Pseudomonas aeruginosa,0.5082651879408978,0.5744387993359816,83,50.0,D011550,False
D011551:Pseudomonas fluorescens,0.28485943916049555,0.28485943916049555,2,2.0,D011551,False
D011552:Pseudomonas Infections,0.5759262025694651,0.5744387993359816,53,38.0,D011552,True
D011553:Pseudomyxoma Peritonei,0.43324245593068417,0.43324245593068417,6,5.0,D011553,True
D011554:Pseudopodia,0.5838031993596804,0.5637652845463932,144,87.0,D011554,False
D011556:Pseudopseudohypoparathyroidism,0.778612290738076,0.778612290738076,1,1.0,D011556,True
D011557:Pseudorabies,0.7737347006285147,0.7737347006285147,2,2.0,D011557,True
"D011558:Herpesvirus 1, Suid",0.7737347006285147,0.4623604254332196,6,5.0,D011558,False
D011559:Pseudotumor Cerebri,0.43324245593068417,0.43324245593068417,1,1.0,D011559,True
D011560:Pseudouridine,0.8758807190845683,0.7981587989244099,2,1.0,D011560,False
D011561:Pseudoxanthoma Elasticum,0.5773411577466219,0.9865696328150844,18,1.0,D011561,True
D011564:Furocoumarins,0.7981587989244099,0.7981587989244099,2,2.0,D011564,False
D011565:Psoriasis,0.4999404265459311,0.4654672544580801,381,148.0,D011565,True
"D011567:Psychiatric Department, Hospital",0.1198274574245593,0.1198274574245593,1,1.0,D011567,False
D011569:Psychiatric Status Rating Scales,0.46393529189199073,0.43291432351968245,262,71.0,D011569,False
D011570:Psychiatry,0.8315655811174186,,1,,D011570,False
D011576:Psychodidae,0.778612290738076,0.778612290738076,1,1.0,D011576,False
D011578:Psycholinguistics,0.28574096205557215,0.28574096205557215,1,1.0,D011578,False
D011581:Psychological Tests,0.35406053589149855,0.46869004300363876,28,13.0,D011581,False
D011584:Psychology,0.24822272528694547,0.24822272528694547,1,1.0,D011584,False
D011594:Psychometrics,0.28485943916049555,0.28485943916049555,25,11.0,D011594,False
D011595:Psychomotor Agitation,0.48949688377777434,0.5902140672782875,4,3.0,D011595,True
D011596:Psychomotor Disorders,0.4814340364300004,0.42745939076214307,19,17.0,D011596,True
D011597:Psychomotor Performance,0.48734303038335375,0.6864837929133983,71,29.0,D011597,False
D011599:Psychopathology,0.438383337394891,0.438383337394891,4,2.0,D011599,False
D011600:Psychopharmacology,0.12995368838901752,0.12995368838901752,1,1.0,D011600,False
D011601:Psychophysics,0.3958815745947734,0.3853012430994082,4,2.0,D011601,False
D011602:Psychophysiologic Disorders,0.10804638786290162,0.10804638786290162,1,1.0,D011602,True
D011603:Psychophysiology,0.8536993472714621,0.8536993472714621,1,1.0,D011603,False
"D011605:Psychoses, Substance-Induced",0.3340408878732429,0.43777133702215676,7,4.0,D011605,True
D011609:Psychosine,0.6206304152972811,0.7207409857757194,3,2.0,D011609,False
D011613:Psychotherapy,0.46551015835076187,0.46551015835076187,3,3.0,D011613,False
